engine_load,fuel_blend_percentage,nanoparticle_concentration,injection_pressure,engine_speed,BTE
75,4.028551877799846,85.01608897674896,180,1500,21.16862214100674
100,40.542282513915495,27.60829718974364,180,2500,28.02741426199363
25,51.6283299197674,24.5629446094462,220,1500,27.22950543852609
75,58.064522590963406,77.55852326524014,180,2000,28.26811247912471
75,93.59372482485595,32.03173559397659,240,2500,30.69168869485519
100,67.22506872941946,10.25149454383462,180,2500,32.34803240171914
25,48.1277951219237,92.07641517800845,220,2500,24.216817197606986
25,80.96750362658894,66.06433522297566,220,1000,29.5420143204562
75,95.05328209544088,50.04439282071466,200,2000,31.7626644445827
50,2.2066148682290843,75.3162859008134,200,1500,20.30942627077666
75,98.25212722560389,39.99985598037573,240,2500,34.508179708777305
75,8.613213906368033,95.8299451385876,180,2500,23.69819839466333
75,81.43867792687614,16.17582600526698,220,1500,29.8604685393761
75,28.033475255141248,67.68533715961249,220,2000,25.56062164557609
100,13.217965775387174,79.95605345751461,200,1500,23.015145709954837
25,43.98556397138349,52.221331710415846,200,1500,25.559587188720368
100,64.39565794476135,77.94715195594323,180,2500,28.76729905579332
100,38.0951845023475,93.42193580907124,220,1000,25.687238647068657
100,5.456540828269896,76.95945106113561,200,1000,25.393947651083508
75,59.94611396587166,37.843018042268,180,1000,29.40146098707245
50,90.24032761106749,60.56617372472822,180,1000,31.04857971887324
25,38.32153659472517,92.04431660736608,180,1000,22.757215945097407
50,21.633277763082702,50.418795293424346,200,2500,23.574097961237516
100,44.25773459328154,71.35286454241434,200,1000,29.566548724845923
100,4.836271104878087,51.89632526159853,200,1500,24.76640748663206
50,82.04875844802748,20.920974124632597,240,2500,32.616585377503455
50,82.63408109501867,15.273787228864768,240,1500,30.26213836829739
50,58.80004634296285,95.70465636658184,240,1000,27.425538636471806
100,35.31028889383895,65.12875960789862,200,2000,28.33786718328957
100,79.97833644457833,19.34334218102424,200,1000,32.80795902883556
25,55.46870247883672,87.16947026228543,240,2500,26.41576644571397
25,82.59323085500162,57.0423822859732,220,1500,27.83320759398451
100,63.14587925830206,79.4738901015886,220,2000,30.5876113467804
50,78.44054732127972,21.40805760628736,220,2000,28.876527271787747
50,59.856299321776,91.62193886466277,220,2000,25.389343803214643
25,41.41410682156662,63.148189571382304,240,1500,24.167803328324933
100,95.79458599261376,76.4434612674137,180,2500,32.92185352457642
25,54.11138248788448,12.824171921516768,180,2000,25.29718841692404
25,60.50895185405384,38.377441017910286,220,1500,27.29836031520705
75,22.048763941474924,34.07008729558705,200,1500,26.83501621261872
75,62.565078942727645,95.46354957590836,220,1000,27.77345517060897
75,57.16076494829439,26.680471199230247,220,1500,29.973387872516074
50,18.483839794702494,73.63465540426833,180,2500,22.240888943861663
100,5.958709735314372,13.847818397436372,200,2500,25.11942020656953
100,60.43593197147711,27.79156771248147,180,2000,30.43866009615164
100,76.36922693503206,40.47376188289175,200,1500,32.66128448080217
100,52.34013709220082,81.50552630872674,240,1500,28.522259173281984
75,22.67726253196457,81.09789220556203,180,1000,22.39774704954708
50,66.65219766930349,95.73416755688456,240,1000,28.450169646664715
50,8.010572660960225,92.50907524001964,240,1500,21.56468150312627
75,44.18337048019546,17.336313554051472,220,1500,25.52409009631788
50,16.33667583984202,84.68809499302263,200,1500,23.86049185382715
75,18.445905105988334,50.60562215860151,180,1000,26.056448874430263
100,20.229394915820365,87.929748165676,220,1000,24.185433433360885
75,38.67070570439779,18.035762637801756,180,2500,25.838347764738128
100,5.115020562039763,84.04921913566021,240,2000,24.97332018561057
100,39.77934409290982,24.36782671006969,180,2000,29.635048753795218
25,51.170744711470086,40.0457467062408,180,2000,26.04814944443085
75,48.32942849663253,12.596356026101953,220,2000,27.88560557425248
25,38.27841004030405,21.135527936842468,200,1000,23.863312645244825
75,83.91466080707525,50.11532968711444,180,1000,31.739199487150863
75,14.53266924205041,83.65045020710232,240,1500,22.889328050372544
25,50.5696743781374,79.63027942285449,240,2500,24.079245211737938
25,6.20414169565543,31.17679855986819,220,2500,22.030724724535464
75,7.115567887790975,23.652140416235287,240,2000,24.970983177823616
50,57.38658496770963,45.0337116683593,180,1500,28.83883054884545
100,56.6018424887821,89.49415124915963,200,1500,27.050848192776908
25,87.8033512844457,18.228256674670284,180,1000,29.16694390069374
100,55.78736756600732,58.862260930991525,220,1500,29.05975086111187
50,95.97910204048502,17.99267314627377,240,2500,31.720005724903896
50,4.869484839992976,52.319090904781504,180,2500,20.668697735326404
